"chemical_ID","Confidence","score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","ISgroup","mean_int_vec","MD"
"HMDB60722",3,27000,"12_1",139.05838,379.6,"Multiple",NA,NA,"2-Pyridylacetic acid","C7H7NO2","-","M+H_[+1]","ISgroup_12_9_6",17539383.4268293,0.0583799999999997
"HMDB60722",3,27000,"1_1",139.05293,230.9,"Multiple",NA,NA,"2-Pyridylacetic acid","C7H7NO2","-","M+H_[+1]","ISgroup_1_3_6",5802299.18048781,0.0529300000000035
"HMDB60722",3,27000,"1_1",139.05923,230.9,"Multiple",NA,NA,"2-Pyridylacetic acid","C7H7NO2","-","M+H_[+1]","ISgroup_1_3_6",22254338.6341463,0.0592300000000137
"HMDB60722",3,27000,"12_1",138.05503,379.6,"Multiple",138.05495,0.58,"2-Pyridylacetic acid","C7H7NO2","137.047678473","M+H","ISgroup_12_9_6",243089071.2,0.055
"HMDB60722",3,27000,"1_1",138.05587,230.9,"Multiple",138.05495,6.66,"2-Pyridylacetic acid","C7H7NO2","137.047678473","M+H","ISgroup_1_3_6",450330980.4,0.056
"HMDB60650",3,25714.2857142857,"8_1",132.10201,476.4,"Multiple",132.1019,0.83,"N-(2-Hydroxyethyl)-morpholine","C6H13NO2","131.094628665","M+H","ISgroup_8_26_11",534401891,0.102
"HMDB41878",3,25233.6448598132,"6_1",75.10045,542.8,"Multiple",NA,NA,"Diethylamine","C4H11N","-","M+H_[+1]","ISgroup_6_36_11",3860452.78536585,0.100449999999995
"HMDB41878",3,25233.6448598132,"6_1",74.09709,542.1,"Multiple",74.09643,8.91,"Diethylamine","C4H11N","73.089149357","M+H","ISgroup_6_36_10",90955588.2,0.097
"HMDB40410",3,26470.5882352941,"7_1",136.05083,493.5,"Multiple",NA,NA,"Ethyl 3-mercaptopropanoic acid","C5H10O2S","-","M+H_[+1]","ISgroup_7_11_6",55716836.9292683,0.0508299999999906
"HMDB40410",3,26470.5882352941,"7_1",135.04747,493.3,"Multiple",135.04743,0.3,"Ethyl 3-mercaptopropanoic acid","C5H10O2S","134.040150254","M+H","ISgroup_7_11_5",982305323.4,0.047
"HMDB40263",3,26470.5882352941,"7_1",136.05083,493.5,"Multiple",NA,NA,"Ethyl 2-(methylthio)acetate","C5H10O2S","-","M+H_[+1]","ISgroup_7_11_6",55716836.9292683,0.0508299999999906
"HMDB40263",3,26470.5882352941,"7_1",135.04747,493.3,"Multiple",135.04743,0.3,"Ethyl 2-(methylthio)acetate","C5H10O2S","134.040150254","M+H","ISgroup_7_11_5",982305323.4,0.047
"HMDB40237",3,25961.5384615384,"16_1",149.04334,417.3,"Unique",NA,NA,"Dihydro-2-methoxy-2-methyl-3(2H)-thiophenone","C6H10O2S","-","M+H_[+2]","ISgroup_16_1_5",813364.553658537,0.0433400000000006
"HMDB40237",3,25961.5384615384,"16_1",148.0508,417,"Unique",NA,NA,"Dihydro-2-methoxy-2-methyl-3(2H)-thiophenone","C6H10O2S","-","M+H_[+1]","ISgroup_16_1_6",1305379.21707317,0.0508000000000095
"HMDB40237",3,25961.5384615384,"16_1",147.04749,416.9,"Unique",147.04743,0.41,"Dihydro-2-methoxy-2-methyl-3(2H)-thiophenone","C6H10O2S","146.040150254","M+H","ISgroup_16_1_5",24768510.3,0.047
"HMDB39806",3,26732.6732673267,"7_1",120.09073,345.7,"Multiple",NA,NA,"1-Hexanethiol","C6H14S","-","M+H_[+1]","ISgroup_7_9_10",17007829.6512195,0.0907299999999935
"HMDB39806",3,26732.6732673267,"7_1",120.09316,345.8,"Multiple",NA,NA,"1-Hexanethiol","C6H14S","-","M+H_[+1]","ISgroup_7_9_10",4607122.92926829,0.0931599999999975
"HMDB39806",3,26732.6732673267,"7_1",119.08984,345.7,"Multiple",119.0889,7.89,"1-Hexanethiol","C6H14S","118.081621138","M+H","ISgroup_7_9_9",241175605.3,0.09
"HMDB39002",3,23684.2105263158,"11_1",334.13284,607.5,"Multiple",NA,NA,"Mytilin A","C13H20N2O8","-","M+H_[+1]","ISgroup_11_40_14",3300716.45365854,0.132839999999987
"HMDB39002",3,23684.2105263158,"11_1",333.12932,608.9,"Multiple",333.12924,0.24,"Mytilin A","C13H20N2O8","332.121965626","M+H","ISgroup_11_40_13",23456754.2,0.129
"HMDB38949",3,26732.6732673268,"7_1",145.10533,462.6,"Multiple",NA,NA,"3beta6beta-Dihydroxynortropane","C7H13NO2","-","M+H_[+1]","ISgroup_7_11_11",2448448.66097561,0.105330000000009
"HMDB38949",3,26732.6732673268,"7_1",144.10198,462.7,"Multiple",144.1019,0.56,"3beta6beta-Dihydroxynortropane","C7H13NO2","143.094628665","M+H","ISgroup_7_11_11",36882478.2,0.102
"HMDB36382",3,25714.2857142857,"8_1",132.10201,476.4,"Multiple",132.1019,0.83,"6-Deoxyfagomine","C6H13NO2","131.094628665","M+H","ISgroup_8_26_11",534401891,0.102
"HMDB34377",3,26470.5882352941,"7_1",136.05083,493.5,"Multiple",NA,NA,"Methyl 3-(methylthio)propanoate","C5H10O2S","-","M+H_[+1]","ISgroup_7_11_6",55716836.9292683,0.0508299999999906
"HMDB34377",3,26470.5882352941,"7_1",135.04747,493.3,"Multiple",135.04743,0.3,"Methyl 3-(methylthio)propanoate","C5H10O2S","134.040150254","M+H","ISgroup_7_11_5",982305323.4,0.047
"HMDB34198",3,25233.6448598132,"6_1",75.10045,542.8,"Multiple",NA,NA,"2-Methyl-1-propylamine","C4H11N","-","M+H_[+1]","ISgroup_6_36_11",3860452.78536585,0.100449999999995
"HMDB34198",3,25233.6448598132,"6_1",74.09709,542.1,"Multiple",74.09643,8.91,"2-Methyl-1-propylamine","C4H11N","73.089149357","M+H","ISgroup_6_36_10",90955588.2,0.097
"HMDB33923",3,25714.2857142857,"8_1",132.10201,476.4,"Multiple",132.1019,0.83,"()-erythro-Isoleucine","C6H13NO2","131.094628665","M+H","ISgroup_8_26_11",534401891,0.102
"HMDB32593",3,25714.2857142857,"17_1",137.06522,230.3,"Multiple",NA,NA,"4-(Hydroxymethyl)benzenediazonium(1)","C7H7N2O","-","M+H_[+1]","ISgroup_17_1_7",14420037.397561,0.0652200000000107
"HMDB32593",3,25714.2857142857,"17_1",136.06188,230.8,"Multiple",136.06311,9.04,"4-(Hydroxymethyl)benzenediazonium(1)","C7H7N2O","135.055837856","M+H","ISgroup_17_1_7",266677820.7,0.062
"HMDB32409",3,26470.5882352941,"7_1",136.05083,493.5,"Multiple",NA,NA,"Methyl 3-mercaptobutanoate","C5H10O2S","-","M+H_[+1]","ISgroup_7_11_6",55716836.9292683,0.0508299999999906
"HMDB32409",3,26470.5882352941,"7_1",135.04747,493.3,"Multiple",135.04743,0.3,"Methyl 3-mercaptobutanoate","C5H10O2S","134.040150254","M+H","ISgroup_7_11_5",982305323.4,0.047
"HMDB32304",3,25961.5384615385,"8_1",134.10618,476.9,"Multiple",NA,NA,"Heptane-1-thiol","C7H16S","-","M+H_[+1]","ISgroup_8_26_11",1403676.49512195,0.106179999999995
"HMDB32304",3,25961.5384615385,"8_1",133.10538,476.5,"Multiple",133.10455,6.24,"Heptane-1-thiol","C7H16S","132.097271202","M+H","ISgroup_8_26_11",33905553.8,0.105
"HMDB32303",3,25961.5384615385,"8_1",134.10618,476.9,"Multiple",NA,NA,"2-Heptanethiol","C7H16S","-","M+H_[+1]","ISgroup_8_26_11",1403676.49512195,0.106179999999995
"HMDB32303",3,25961.5384615385,"8_1",133.10538,476.5,"Multiple",133.10455,6.24,"2-Heptanethiol","C7H16S","132.097271202","M+H","ISgroup_8_26_11",33905553.8,0.105
"HMDB32179",3,25233.6448598132,"6_1",75.10045,542.8,"Multiple",NA,NA,"sec-Butylamine","C4H11N","-","M+H_[+1]","ISgroup_6_36_11",3860452.78536585,0.100449999999995
"HMDB32179",3,25233.6448598132,"6_1",74.09709,542.1,"Multiple",74.09643,8.91,"sec-Butylamine","C4H11N","73.089149357","M+H","ISgroup_6_36_10",90955588.2,0.097
